
[2017-06-14 23:23:47] Startup - updater built Jun  1 2017 11:42:41
[2017-06-14 23:23:47] uninstalled manifest found in /Users/lop/Library/Application Support/Steam/Steam.AppBundle/Steam/Contents/MacOS/package/steam_client_osx (1).
[2017-06-14 23:23:47] Found pending update
[2017-06-14 23:23:47] Installing update...
[2017-06-14 23:23:47] Extracting package...
[2017-06-14 23:24:24] Installing update...
[2017-06-14 23:24:24] Cleaning up...
[2017-06-14 23:24:25] Update complete, launching Steam...
[2017-06-14 23:24:25] Shutdown


[2017-06-14 23:24:26] Startup - updater built Aug 22 2016 17:36:46


[2017-06-14 23:24:26] Startup - updater built Jun  7 2017 21:34:51
[2017-06-14 23:24:26] Verifying installation...
[2017-06-14 23:24:27] Verification complete
[2017-06-14 23:24:31] Background update loop checking for update. . .
[2017-06-14 23:24:31] Checking for available updates...
[2017-06-14 23:24:35] Download skipped: /client/steam_client_osx version 1496897923, installed version 1496897923
[2017-06-14 23:24:35] Nothing to do
[2017-06-14 23:24:51] Shutdown


[2017-06-27 09:35:13] Startup - updater built Aug 22 2016 17:36:46


[2017-06-27 09:35:13] Startup - updater built Jun  7 2017 21:34:51
[2017-06-27 09:35:13] Verifying installation...
[2017-06-27 09:35:14] Verification complete
[2017-06-27 09:35:16] Background update loop checking for update. . .
[2017-06-27 09:35:16] Checking for available updates...
[2017-06-27 09:35:20] Download skipped: /client/steam_client_osx version 1496897923, installed version 1496897923
[2017-06-27 09:35:20] Nothing to do
[2017-06-27 09:49:56] Background update loop checking for update. . .
[2017-06-27 09:49:57] Download skipped by HTTP 304 Not Modified
[2017-06-27 09:49:57] Nothing to do
[2017-06-27 09:56:09] Background update loop checking for update. . .
[2017-06-27 09:56:09] Download skipped by HTTP 304 Not Modified
[2017-06-27 09:56:09] Nothing to do
[2017-06-27 10:18:11] Background update loop checking for update. . .
[2017-06-27 10:18:11] Download skipped by HTTP 304 Not Modified
[2017-06-27 10:18:11] Nothing to do
[2017-06-27 10:24:16] Background update loop checking for update. . .
[2017-06-27 10:24:17] Download skipped by HTTP 304 Not Modified
[2017-06-27 10:24:17] Nothing to do
[2017-06-27 10:30:22] Background update loop checking for update. . .
[2017-06-27 10:30:23] Download skipped by HTTP 304 Not Modified
[2017-06-27 10:30:23] Nothing to do
[2017-06-27 10:36:27] Background update loop checking for update. . .
[2017-06-27 10:36:28] Download skipped by HTTP 304 Not Modified
[2017-06-27 10:36:28] Nothing to do
[2017-06-27 10:42:33] Background update loop checking for update. . .
[2017-06-27 10:42:34] Download skipped by HTTP 304 Not Modified
[2017-06-27 10:42:34] Nothing to do
[2017-06-27 12:09:32] Shutdown


[2017-06-29 10:57:23] Startup - updater built Aug 22 2016 17:36:46


[2017-06-29 10:57:24] Startup - updater built Jun  7 2017 21:34:51
[2017-06-29 10:57:24] Verifying installation...
[2017-06-29 10:57:24] Verification complete
[2017-06-29 10:57:29] Background update loop checking for update. . .
[2017-06-29 10:57:29] Checking for available updates...
[2017-06-29 10:57:33] Download skipped: /client/steam_client_osx version 1496897923, installed version 1496897923
[2017-06-29 10:57:33] Nothing to do
[2017-06-29 12:43:19] Background update loop checking for update. . .
[2017-06-29 12:43:21] Download skipped by HTTP 304 Not Modified
[2017-06-29 12:43:21] Nothing to do
[2017-06-29 12:53:26] Background update loop checking for update. . .
[2017-06-29 12:53:26] Download failed: http error 0 (client-download.steampowered.com/client/steam_client_osx)
[2017-06-29 12:53:27] Download failed: http error 0 (media.steampowered.com/client/steam_client_osx)
[2017-06-29 12:53:27] failed to load manifest from buffer.
